Ax,Ay,Az,Gx,Gy,Gz,Label
-0.017,-0.040,1.010,0.368,-3.334,0.324,Idle
-0.020,-0.038,1.012,0.420,-3.369,0.306,Idle
-0.018,-0.039,1.010,0.394,-3.334,0.280,Idle
-0.018,-0.042,1.012,0.376,-3.369,0.289,Idle
-0.018,-0.040,1.011,0.306,-3.325,0.271,Idle
-0.019,-0.039,1.010,0.376,-3.334,0.315,Idle
-0.018,-0.041,1.012,0.376,-3.351,0.298,Idle
-0.018,-0.042,1.011,0.324,-3.360,0.324,Idle
-0.020,-0.039,1.009,0.341,-3.316,0.280,Idle
-0.018,-0.038,1.011,0.341,-3.342,0.289,Idle
-0.018,-0.041,1.009,0.359,-3.316,0.315,Idle
-0.018,-0.041,1.012,0.394,-3.334,0.271,Idle
-0.018,-0.040,1.010,0.385,-3.316,0.254,Idle
-0.020,-0.039,1.011,0.368,-3.351,0.306,Idle
-0.019,-0.042,1.012,0.394,-3.316,0.280,Idle
-0.018,-0.042,1.012,0.350,-3.395,0.306,Idle
-0.018,-0.039,1.010,0.306,-3.351,0.289,Idle
-0.018,-0.040,1.011,0.324,-3.351,0.298,Idle
-0.018,-0.040,1.010,0.359,-3.351,0.324,Idle
-0.019,-0.041,1.011,0.341,-3.325,0.280,Idle
-0.018,-0.039,1.011,0.394,-3.334,0.306,Idle
-0.019,-0.040,1.012,0.359,-3.360,0.280,Idle
-0.019,-0.041,1.011,0.315,-3.369,0.333,Idle
-0.019,-0.042,1.012,0.333,-3.316,0.324,Idle
-0.019,-0.040,1.011,0.333,-3.325,0.298,Idle
-0.019,-0.040,1.013,0.341,-3.316,0.262,Idle
-0.018,-0.041,1.012,0.333,-3.342,0.280,Idle
-0.019,-0.040,1.011,0.403,-3.325,0.315,Idle
-0.018,-0.039,1.011,0.333,-3.342,0.315,Idle
-0.019,-0.040,1.010,0.376,-3.325,0.289,Idle
-0.018,-0.041,1.011,0.333,-3.342,0.289,Idle
-0.020,-0.040,1.011,0.359,-3.299,0.306,Idle
-0.019,-0.040,1.010,0.385,-3.342,0.298,Idle
-0.019,-0.041,1.013,0.385,-3.325,0.306,Idle
-0.018,-0.040,1.011,0.429,-3.342,0.298,Idle
-0.018,-0.041,1.011,0.333,-3.351,0.324,Idle
-0.018,-0.040,1.011,0.394,-3.334,0.306,Idle
-0.019,-0.041,1.012,0.333,-3.342,0.289,Idle
-0.018,-0.040,1.011,0.341,-3.299,0.306,Idle
-0.019,-0.041,1.011,0.394,-3.325,0.298,Idle
-0.018,-0.040,1.009,0.341,-3.351,0.289,Idle
